# Simulation 1 (Up to date)
# 738 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.001,0.211,21.142,0.211,21.142,0,0,0,0,0,0,28.61,-80.6,9.792,82.64,0,0,0,1974.777,799.817,0.195,0.002,NaN,892.486,NaN,0.005,1.37e5,61.089,2.459e-5,0.778,0.004,0.561,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.706e-5,70,38.485,90,0,1.636,15,1013.25,340.389,0.01,5.268e-4
0.02,0.007,1.042,83.067,1.042,83.067,0,0,0,0,0,0,28.61,-80.6,9.792,57.311,0,0,0,1973.57,798.61,0.195,0.002,NaN,892.35,NaN,0.006,1.602e5,183.266,0.002,0.757,0.235,0.54,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.334e-4,70,38.485,90,0,1.623,15,1013.249,340.389,0.01,6.594e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.025,2.492,145.062,2.492,145.062,0,0,0,0,0,0,28.61,-80.6,9.792,32.877,0,0,0,1972.363,797.403,0.195,0.002,NaN,892.215,NaN,0.009,2.464e5,305.443,0.015,0.705,0.725,0.488,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.191e-4,70,38.485,90,0,1.611,15,1013.247,340.389,0.01,7.554e-4
0.04,0.06,4.563,207.123,4.563,207.123,0,0,0,0,0,0,28.61,-80.6,9.792,19.302,0,0,0,1971.156,796.196,0.195,0.002,NaN,892.079,NaN,0.014,4.015e5,427.621,0.047,0.654,0.845,0.437,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.842e-4,70,38.485,90,0,1.598,15,1013.243,340.389,0.01,8.683e-4
0.05,0.118,7.006,244.485,7.006,244.485,0,0,0,0,0,0,28.61,-80.6,9.792,12.75,0,0,0,1968.845,793.885,0.195,0.002,NaN,891.819,NaN,0.021,5.966e5,500.726,0.094,0.619,0.775,0.402,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97e-4,70,38.485,90,0,1.585,14.999,1013.236,340.388,0.01,9.688e-4
0.06,0.2,9.46,245.593,9.46,245.593,0,0,0,0,0,0,28.61,-80.6,9.792,9.401,0,0,0,1966.41,791.45,0.195,0.002,NaN,891.545,NaN,0.028,7.964e5,502.343,0.151,0.595,0.699,0.379,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,70,38.485,90,0,1.566,14.999,1013.226,340.388,0.01,0.001
0.07,0.307,11.923,246.389,11.923,246.389,0,0,0,0,0,0,28.61,-80.6,9.792,7.395,0,0,0,1963.976,789.016,0.195,0.002,NaN,891.269,NaN,0.035,9.986e5,503.354,0.221,0.579,0.649,0.362,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.548,14.998,1013.214,340.388,0.01,0.001
0.078,0.416,13.994,247.094,13.994,247.094,0,0,0,0,0,0,28.61,-80.6,9.792,6.246,0,0,0,1961.934,786.974,0.195,0.002,NaN,891.038,NaN,0.041,1.169e6,504.284,0.29,0.568,0.62,0.351,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.532,14.997,1013.201,340.387,0.008,0.001
0.086,0.522,15.764,247.69,15.764,247.69,0,0,0,0,0,0,28.61,-80.6,9.792,5.501,0,0,0,1960.195,785.235,0.195,0.002,NaN,890.841,NaN,0.047,1.315e6,505.07,0.355,0.56,0.601,0.343,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.518,14.997,1013.189,340.387,0.007,0.001
0.092,0.627,17.338,248.208,17.338,248.208,0,0,0,0,0,0,28.61,-80.6,9.792,4.965,0,0,0,1958.651,783.691,0.195,0.002,NaN,890.665,NaN,0.051,1.445e6,505.752,0.42,0.554,0.588,0.337,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.506,14.996,1013.176,340.386,0.006,0.001
0.098,0.731,18.772,248.674,18.772,248.674,0,0,0,0,0,0,28.61,-80.6,9.792,4.555,0,0,0,1957.246,782.287,0.195,0.002,NaN,890.505,NaN,0.055,1.564e6,506.364,0.483,0.549,0.578,0.332,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,70,38.485,90,0,1.495,14.995,1013.164,340.386,0.006,0.002
0.103,0.835,20.098,249.1,20.098,249.1,0,0,0,0,0,0,28.61,-80.6,9.792,4.265,0,0,0,1955.95,780.99,0.194,0.002,NaN,890.357,NaN,0.059,1.674e6,506.926,0.546,0.545,0.57,0.327,0.097,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.499,14.995,1013.152,340.386,0.005,0.002
0.108,0.938,21.339,249.495,21.339,249.495,0,0,0,0,0,0,28.61,-80.6,9.792,4.052,0,0,0,1954.738,779.778,0.194,0.002,NaN,890.219,NaN,0.063,1.777e6,507.447,0.609,0.541,0.564,0.324,0.097,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.512,14.994,1013.14,340.385,0.005,0.002
# Event LAUNCHROD occurred at t=0.113 seconds
0.113,1.041,22.51,249.864,22.51,249.864,0,0,0,0,0,0,28.61,-80.6,9.792,3.873,0,0,0,1953.598,778.638,0.194,0.002,NaN,890.088,NaN,0.066,1.874e6,507.935,0.671,0.538,0.559,0.32,0.097,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,70,38.485,90,0,1.524,14.993,1013.128,340.385,0.005,0.002
0.12,1.205,24.269,250.345,24.269,250.346,-1.532e-5,0,1.532e-5,-180,0.004,0.651,28.61,-80.6,9.792,3.625,0,0.162,6.265e-5,1951.887,776.927,0.194,0.002,954.937,889.892,0.929,0.071,2.02e6,508.528,0.77,0.534,0.552,0.316,0.097,0.121,0.911,0.846,1.874e-4,0,0,0,0,1.043e-5,0.003,70,38.485,89.999,-0.003,1.542,14.992,1013.109,340.384,0.007,0.002
0.13,1.475,26.915,251.051,26.915,251.052,-9.921e-5,0,9.921e-5,-180,0.012,0.711,28.61,-80.6,9.792,3.31,0,0.44,9.823e-5,1949.3,774.34,0.194,0.002,957.652,889.596,0.972,0.079,2.239e6,509.392,0.931,0.528,0.543,0.31,0.097,0.121,0.824,0.801,-2.703e-4,0,0,0,0,6.259e-5,0.003,70,38.485,89.996,-4.812e-4,1.57,14.99,1013.077,340.383,0.011,0.002
0.146,1.932,30.897,252.008,30.897,252.009,-3.747e-4,0,3.747e-4,-180,0.023,0.774,28.61,-80.6,9.792,2.927,0,0.937,3.247e-4,1945.392,770.432,0.194,0.002,961.026,889.146,1.027,0.091,2.569e6,510.506,1.202,0.52,0.533,0.302,0.097,0.121,0.721,0.74,9.807e-5,0,0,0,0,2.157e-4,0.004,70,38.485,89.986,-0.009,1.611,14.987,1013.023,340.381,0.016,0.002
0.17,2.736,36.901,253.399,36.901,253.4,-0.001,-7.062e-9,0.001,-180,0.042,0.771,28.61,-80.6,9.792,2.445,0,1.864,3.535e-4,1939.528,764.568,0.194,0.002,965.411,888.467,1.099,0.109,3.067e6,512.138,1.672,0.511,0.52,0.293,0.097,0.122,0.594,0.653,2.248e-4,0,0,0,0,5.988e-4,0.005,70,38.485,89.953,-0.006,1.648,14.982,1012.929,340.378,0.024,0.002
0.205,4.211,45.976,255.399,45.976,255.4,-0.003,-3.929e-8,0.003,-179.999,0.066,0.493,28.61,-80.6,9.792,1.875,1.815e-6,3.634,4.517e-4,1930.733,755.773,0.193,0.002,970.809,887.441,1.191,0.135,3.82e6,514.585,2.576,0.511,0.516,0.291,0.098,0.122,0.449,0.533,-2.56e-4,0,0,0,0,0.001,0.006,70,38.485,89.856,0.001,1.687,14.973,1012.756,340.372,0.036,0.002
0.255,6.832,58.885,258.701,58.885,258.702,-0.007,1.274e-8,0.007,180,0.065,0.708,28.61,-80.6,9.792,1.162,-5.631e-6,6.605,-0.003,1918.171,743.211,0.192,0.002,977.911,885.96,1.314,0.173,4.89e6,519.224,4.211,0.513,0.515,0.291,0.098,0.124,0.273,0.356,6.562e-5,0,0,0,0,0.003,0.008,70,38.485,89.602,0.008,1.669,14.956,1012.449,340.362,0.05,0.002
0.305,10.104,72.011,262.849,72.011,262.866,-0.008,8.097e-7,0.008,179.994,0.023,2.993,28.61,-80.6,9.792,0.54,1.053e-5,9.373,-0.002,1905.541,730.581,0.192,0.002,984.46,884.452,1.429,0.212,5.978e6,525.859,6.301,0.515,0.516,0.291,0.099,0.126,0.125,0.174,3.556e-4,0,0,0,0,0.004,0.009,70,38.485,89.2,0.01,1.656,14.934,1012.065,340.349,0.05,0.002
0.355,14.037,85.298,265.944,85.299,266.018,-0.002,3.891e-6,0.002,179.878,0.255,6.276,28.61,-80.6,9.792,0.026,4.145e-5,-10.478,-0.124,1892.737,717.777,0.191,0.002,990.181,882.901,1.533,0.251,7.079e6,530.908,8.876,0.518,0.518,0.29,0.1,0.128,0.006,0.012,3.165e-4,0,0,0,0,-0.004,0.011,70,38.485,88.696,0.012,1.633,14.909,1011.604,340.334,0.05,0.003
0.405,18.637,98.714,268.381,98.716,268.555,0.02,1.118e-5,0.02,0.031,0.66,9.676,28.61,-80.6,9.792,0.37,-5.227e-5,-8.842,0.005,1879.843,704.883,0.19,0.002,987.117,881.319,1.511,0.29,8.19e6,535.197,11.962,0.521,0.521,0.289,0.101,0.131,0.085,0.131,-8.648e-5,0,0,0,0,-0.002,0.013,70,38.485,88.205,0.008,1.772,14.879,1011.064,340.315,0.05,0.003
0.455,23.911,112.238,270.424,112.245,270.704,0.067,2.213e-5,0.067,0.019,1.226,12.3,28.61,-80.6,9.792,0.558,-5.038e-6,-3.887,-0.009,1866.868,691.908,0.189,0.002,985.788,879.705,1.515,0.33,9.309e6,539.195,15.577,0.525,0.525,0.289,0.102,0.134,0.13,0.198,4.397e-4,0,0,0,0,-2.818e-4,0.014,70,38.485,87.882,0.001,1.788,14.845,1010.446,340.295,0.05,0.003
0.486,27.539,120.709,271.865,120.72,272.163,0.111,2.929e-5,0.111,0.015,1.623,12.734,28.61,-80.6,9.792,0.486,9.566e-7,0.271,-0.016,1858.728,683.768,0.189,0.002,986.926,878.68,1.546,0.355,1.001e7,542.143,18.096,0.527,0.528,0.288,0.103,0.136,0.113,0.176,-4.339e-4,0,0,0,0,1.18e-6,0.015,70,38.485,87.83,-0.007,1.922,14.821,1010.02,340.28,0.031,0.003
0.518,31.456,129.252,272.476,129.267,272.737,0.168,3.383e-5,0.168,0.012,2.012,11.927,28.61,-80.6,9.792,0.323,-1.409e-5,3.84,-0.013,1850.515,675.555,0.188,0.002,989.032,877.638,1.591,0.38,1.072e7,543.645,20.844,0.53,0.53,0.288,0.104,0.139,0.075,0.119,2.697e-4,0,0,0,0,2.074e-4,0.017,70,38.485,87.9,-0.014,2.001,14.796,1009.561,340.265,0.031,0.003
0.558,36.868,140.223,272.966,140.245,273.133,0.258,3.197e-5,0.258,0.007,2.447,9.568,28.61,-80.6,9.792,0.048,-1.621e-5,6.293,-0.005,1839.981,665.021,0.188,0.002,992.474,876.287,1.66,0.412,1.162e7,545.26,24.692,0.534,0.534,0.287,0.105,0.142,0.011,0.018,-2.145e-4,0,0,0,0,4.731e-4,0.018,70,38.485,88.12,-0.015,2.057,14.76,1008.926,340.244,0.04,0.003
0.608,44.22,153.867,272.45,153.893,272.528,0.391,2.047e-5,0.391,0.003,2.831,6.539,28.61,-80.6,9.792,0.212,3.408e-5,-3.472,-0.011,1826.832,651.872,0.187,0.002,991.627,874.579,1.672,0.453,1.274e7,545.746,30.005,0.539,0.539,0.286,0.107,0.147,0.05,0.083,-2.428e-5,0,0,0,0,-1.196e-4,0.02,70,38.485,88.397,-0.008,2.145,14.713,1008.064,340.215,0.05,0.003
0.642,49.67,163.219,271.647,163.247,271.706,0.492,9.537e-6,0.492,0.001,3.026,5.669,28.61,-80.6,9.792,0.245,-4.052e-6,0.668,0.006,1817.794,642.834,0.186,0.002,991.918,873.39,1.693,0.48,1.351e7,545.678,33.987,0.543,0.543,0.285,0.108,0.15,0.058,0.098,-2.383e-4,0,0,0,0,3.929e-6,0.021,70,38.485,88.447,-3.752e-5,2.119,14.677,1007.425,340.193,0.034,0.003
0.672,54.607,171.222,270.684,171.252,270.771,0.584,1.583e-6,0.584,1.554e-4,3.206,6.86,28.61,-80.6,9.792,0.123,-1.795e-5,3.995,-0.021,1810.038,635.078,0.186,0.002,993.737,872.361,1.734,0.504,1.417e7,545.438,37.617,0.547,0.547,0.284,0.109,0.153,0.029,0.051,-4.875e-4,0,0,0,0,1.279e-4,0.022,70,38.485,88.369,0.009,2.034,14.645,1006.846,340.174,0.03,0.003
0.716,62.453,183.167,268.967,183.202,269.141,0.733,-2.975e-6,0.733,-2.325e-4,3.583,9.695,28.61,-80.6,9.792,0.088,-1.359e-5,-3.233,-0.012,1798.403,623.443,0.185,0.002,995.124,870.8,1.776,0.539,1.515e7,545.071,43.448,0.552,0.552,0.283,0.111,0.158,0.021,0.037,-4.65e-4,0,0,0,0,-7.319e-5,0.023,70,38.485,88.17,0.008,1.91,14.594,1005.925,340.143,0.044,0.003
0.766,71.946,196.525,266.179,196.569,266.356,0.926,-2.589e-6,0.926,-1.602e-4,4.118,9.719,28.61,-80.6,9.792,0.079,-1.038e-4,1.632,-0.013,1785.328,610.368,0.184,0.002,996.639,869.022,1.823,0.578,1.624e7,543.575,50.572,0.559,0.559,0.282,0.113,0.163,0.019,0.035,5.956e-5,0,0,0,0,1.62e-5,0.025,70,38.485,88.122,-0.008,1.873,14.532,1004.812,340.106,0.05,0.003
0.802,79.107,205.922,263.316,205.97,263.45,1.079,-2.331e-6,1.079,-1.238e-4,4.457,8.391,28.61,-80.6,9.792,6.234e-4,-5.219e-6,3.134,-1.565,1776.024,601.064,0.184,0.002,998.607,867.741,1.87,0.606,1.701e7,541.256,55.978,0.564,0.564,0.281,0.115,0.168,1.488e-4,3.353e-4,3.668e-4,0,0,0,0,5.442e-5,0.026,70,38.485,88.238,-0.011,1.891,14.486,1003.972,340.077,0.036,0.003
0.852,89.729,218.948,259.146,219.001,259.246,1.31,-1.532e-5,1.31,-6.701e-4,4.796,7.218,28.61,-80.6,9.792,0.052,9.046e-5,1.191,-0.025,1763.086,588.126,0.183,0.002,999.905,865.937,1.914,0.644,1.807e7,538.362,64.031,0.571,0.571,0.28,0.117,0.174,0.012,0.024,-5.143e-5,0,0,0,0,6.956e-6,0.028,70,38.485,88.342,-1.163e-4,1.966,14.417,1002.726,340.035,0.05,0.004
0.883,96.79,227.066,255.539,227.121,255.644,1.465,-1.888e-5,1.465,-7.382e-4,5.002,7.334,28.61,-80.6,9.792,0.038,-4.463e-6,2.888,-0.059,1754.893,579.933,0.182,0.002,1001.297,864.78,1.95,0.668,1.873e7,535.202,69.395,0.576,0.576,0.279,0.119,0.178,0.009,0.018,-1.511e-4,0,0,0,0,3.799e-5,0.029,70,38.485,88.279,0.009,1.983,14.371,1001.898,340.008,0.032,0.004
0.931,107.858,239.045,250.65,239.106,250.804,1.712,-1.323e-5,1.712,-4.426e-4,5.415,8.807,28.61,-80.6,9.792,0.029,-3.831e-5,0.258,-0.041,1742.752,567.792,0.182,0.002,1003.384,863.047,2.005,0.703,1.97e7,531.952,77.806,0.583,0.583,0.277,0.121,0.184,0.007,0.014,-4.211e-4,0,0,0,0,2.733e-7,0.031,70,38.485,88.148,-0.004,2.054,14.299,1000.6,339.964,0.047,0.004
0.976,118.948,250.231,245.231,250.299,245.348,1.967,-1.132e-5,1.967,-3.297e-4,5.827,7.595,28.61,-80.6,9.792,0.018,-1.235e-5,-0.449,-0.037,1731.198,556.238,0.181,0.002,1005.51,861.375,2.059,0.737,2.061e7,527.917,86.225,0.59,0.59,0.276,0.124,0.191,0.004,0.009,2.503e-4,0,0,0,0,-7.551e-7,0.032,70,38.485,88.167,-0.014,2.112,14.227,999.299,339.92,0.045,0.004
1.026,131.76,262.202,237.443,262.275,237.582,2.268,-2.569e-5,2.268,-6.489e-4,6.199,8.128,28.61,-80.6,9.792,0.013,1.719e-5,-1.868,-0.056,1718.701,543.741,0.18,0.002,1007.874,859.541,2.119,0.772,2.157e7,521.004,95.849,0.598,0.598,0.274,0.126,0.197,0.003,0.007,-1.782e-4,0,0,0,0,-1.193e-5,0.034,70,38.485,88.201,-0.018,2.119,14.144,997.797,339.87,0.05,0.004
1.076,145.158,273.706,228.008,273.785,228.143,2.587,-5.335e-5,2.587,-0.001,6.573,7.837,28.61,-80.6,9.792,0.01,2.303e-5,0.739,-0.183,1706.369,531.409,0.179,0.002,1010.272,857.705,2.18,0.806,2.249e7,511.73,105.732,0.606,0.606,0.273,0.129,0.204,0.002,0.005,-3.967e-4,0,0,0,0,1.71e-6,0.035,70,38.485,88.178,-0.043,2.145,14.056,996.225,339.817,0.05,0.004
1.126,159.119,284.691,217.533,284.776,217.673,2.925,-1.131e-4,2.925,-0.002,6.944,7.819,28.61,-80.6,9.792,0.02,2.801e-6,-0.079,-0.096,1694.28,519.32,0.178,0.002,1012.562,855.879,2.238,0.838,2.337e7,501.145,115.763,0.614,0.614,0.271,0.132,0.211,0.005,0.011,4.124e-4,0,0,0,0,-1.811e-8,0.036,70,38.485,88.161,-0.009,2.099,13.966,994.588,339.762,0.05,0.004
1.176,173.616,295.141,206.805,295.231,206.858,3.282,-1.851e-4,3.282,-0.003,7.287,4.714,28.61,-80.6,9.792,0.061,1.083e-4,0.56,-0.125,1682.497,507.537,0.177,0.002,1014.55,854.074,2.293,0.869,2.42e7,490.366,125.868,0.622,0.622,0.27,0.134,0.218,0.016,0.036,2.706e-5,0,0,0,0,8.471e-7,0.038,70,38.485,88.208,-0.012,2.061,13.872,992.888,339.705,0.05,0.004
1.226,188.621,305.054,195.883,305.15,196.082,3.654,-2.42e-4,3.654,-0.004,7.62,8.832,28.61,-80.6,9.792,0.063,4.411e-4,1.868,-0.449,1670.853,495.893,0.176,0.002,1016.906,852.265,2.352,0.899,2.499e7,479.929,135.975,0.63,0.63,0.268,0.137,0.225,0.016,0.039,-1.697e-4,0,0,0,0,8.804e-6,0.039,70,38.485,88.17,-0.061,2.039,13.774,991.128,339.646,0.05,0.004
1.276,204.11,314.43,185.351,314.53,185.417,4.042,-3.616e-4,4.042,-0.005,7.915,4.931,28.61,-80.6,9.792,0.031,3.26e-4,2.761,-0.516,1659.625,484.665,0.176,0.002,1019.543,850.497,2.415,0.926,2.572e7,469.437,145.472,0.636,0.636,0.264,0.14,0.232,0.008,0.02,-2.101e-4,0,0,0,0,1.812e-5,0.04,70,38.485,88.198,0.016,2.029,13.673,989.311,339.585,0.05,0.004
1.326,220.053,323.267,174.537,323.372,174.635,4.446,-4.576e-4,4.446,-0.006,8.221,5.86,28.61,-80.6,9.792,0.008,-3.364e-4,-0.16,2.802,1648.545,473.585,0.175,0.002,1021.911,848.729,2.474,0.953,2.641e7,458.817,154.786,0.641,0.641,0.261,0.142,0.238,0.002,0.005,1.686e-4,0,0,0,0,-5.78e-8,0.041,70,38.485,88.184,0.075,2.053,13.57,987.442,339.522,0.05,0.004
1.376,236.424,331.54,163.213,331.649,163.355,4.863,-5.06e-4,4.863,-0.006,8.495,6.795,28.61,-80.6,9.792,0.03,-4.505e-4,-0.158,0.692,1637.772,462.812,0.174,0.002,1023.582,846.987,2.523,0.977,2.706e7,447.409,163.851,0.646,0.646,0.257,0.145,0.244,0.008,0.021,-3.904e-4,0,0,0,0,-5.332e-8,0.042,70,38.485,88.172,0.017,2.084,13.463,985.522,339.458,0.05,0.004
1.426,253.194,339.241,151.718,339.354,151.912,5.294,-5.448e-4,5.294,-0.006,8.759,7.689,28.61,-80.6,9.791,0.057,-8.941e-4,-1.736,0.825,1627.292,452.332,0.173,0.002,1024.908,845.27,2.566,1,2.765e7,435.807,172.714,0.651,0.651,0.254,0.148,0.25,0.016,0.04,4.907e-4,0,0,0,0,-6.15e-6,0.043,70,38.485,88.145,-0.108,2.093,13.354,983.555,339.392,0.05,0.005
1.467,267.102,345.033,139.736,345.149,139.776,5.654,-6.319e-4,5.654,-0.006,8.94,3.329,28.61,-80.6,9.791,0.032,-0.002,3.758,2.71,1618.916,443.956,0.173,0.002,1026.226,843.881,2.605,1.017,2.809e7,425.475,183.351,0.669,0.669,0.251,0.172,0.246,0.009,0.022,-3.075e-4,0,0,0,0,2.787e-5,0.044,70,38.485,88.173,-0.06,2.093,13.264,981.923,339.337,0.041,0.005
1.517,284.519,351.582,128.155,351.702,128.187,6.107,-7.114e-4,6.107,-0.007,9.171,2.854,28.61,-80.6,9.791,0.034,-0.001,-3.08,1.994,1608.922,433.962,0.172,0.002,1027.257,842.206,2.644,1.037,2.858e7,415.95,193.97,0.683,0.683,0.249,0.193,0.241,0.009,0.025,1.757e-4,0,0,0,0,-1.802e-5,0.045,70,38.485,88.18,-0.029,2.115,13.151,979.881,339.268,0.05,0.005
1.563,300.767,357.119,118.817,357.243,118.979,6.532,-8.751e-4,6.532,-0.008,9.386,6.196,28.61,-80.6,9.791,0.052,-0.006,4.153,6.531,1599.849,424.889,0.171,0.002,1027.824,840.667,2.674,1.053,2.9e7,407.593,201.637,0.689,0.69,0.246,0.206,0.237,0.014,0.038,1.013e-5,0,0,0,0,3.177e-5,0.046,70,38.485,88.188,0.375,2.043,13.045,977.975,339.204,0.046,0.005
1.597,312.909,360.754,106.655,360.879,106.901,6.851,-7.115e-4,6.851,-0.006,9.482,7.246,28.61,-80.6,9.791,0.067,-0.003,-0.726,1.718,1593.754,418.794,0.171,0.002,1028.089,839.623,2.692,1.064,2.926e7,392.03,206.16,0.692,0.692,0.245,0.212,0.235,0.018,0.049,-2.477e-4,0,0,0,0,-9.516e-7,0.046,70,38.485,88.179,-0.128,1.967,12.966,976.551,339.156,0.034,0.005
1.647,331.056,365.065,84.495,365.192,84.497,7.329,-5.881e-4,7.329,-0.005,9.621,0.606,28.61,-80.6,9.791,0.047,-0.004,0.884,3.294,1584.81,409.85,0.17,0.002,1028.68,838.077,2.723,1.077,2.957e7,360.107,210.728,0.692,0.692,0.243,0.217,0.232,0.013,0.036,3.145e-4,0,0,0,0,1.378e-6,0.047,70,38.485,88.189,-0.505,1.979,12.848,974.423,339.085,0.05,0.005
1.686,345.369,367.111,52.877,367.24,53.081,7.707,-8.603e-4,7.707,-0.006,9.714,4.658,28.61,-80.6,9.791,0.095,-0.011,-0.648,5.277,1579.577,404.617,0.169,0.002,1028.38,837.164,2.732,1.083,2.97e7,311.559,212.622,0.691,0.691,0.242,0.218,0.231,0.026,0.072,-2.795e-4,0,0,0,0,-7.318e-7,0.047,70,38.485,88.186,0.323,2.016,12.755,972.744,339.028,0.039,0.005
1.726,360.284,367.613,12.136,367.743,13.021,8.102,-0.001,8.102,-0.007,9.752,4.72,28.61,-80.6,9.791,0.078,-0.013,-1.643,7.035,1574.265,399.305,0.169,0.002,1028.58,836.231,2.748,1.085,2.971e7,247.431,212.728,0.69,0.691,0.242,0.218,0.23,0.021,0.058,3.921e-4,0,0,0,0,-4.691e-6,0.047,70,38.485,88.158,0.786,2.093,12.658,970.995,338.97,0.041,0.005
1.754,370.632,367.016,-20.244,367.145,20.296,8.376,-7.401e-4,8.376,-0.005,9.72,1.446,28.61,-80.6,9.791,0.03,-0.005,-0.48,1.738,1571.8,396.84,0.169,0.002,1029.008,835.796,2.76,1.083,2.964e7,195.572,211.971,0.691,0.691,0.242,0.218,0.231,0.008,0.023,-1.383e-4,0,0,0,0,-4.022e-7,0.047,70,38.485,88.156,-0.13,2.15,12.591,969.781,338.929,0.028,0.005
1.797,386.102,365.102,-45.347,365.231,45.665,8.786,-9.852e-4,8.786,-0.006,9.682,5.381,28.61,-80.6,9.791,0.092,-0.011,-3.029,4.588,1568.68,393.72,0.169,0.002,1028.269,835.244,2.758,1.078,2.944e7,153.765,209.645,0.692,0.692,0.243,0.217,0.232,0.025,0.07,5.501e-5,0,0,0,0,-1.617e-5,0.047,70,38.485,88.165,0.64,2.16,12.49,967.967,338.868,0.042,0.005
1.821,395.003,363.378,-69.109,363.505,69.129,9.022,-6.491e-4,9.022,-0.004,9.613,1.668,28.61,-80.6,9.791,0.014,-0.005,-0.073,0.936,1566.954,391.994,0.168,0.002,1028.883,834.937,2.771,1.073,2.928e7,114.557,207.532,0.692,0.692,0.244,0.215,0.233,0.004,0.011,-4.624e-4,0,0,0,0,-9.511e-9,0.047,70,38.485,88.141,-0.443,2.206,12.432,966.923,338.833,0.024,0.005
1.858,408.267,360.321,-82.573,360.447,82.732,9.373,-8.195e-4,9.373,-0.005,9.538,5.123,28.61,-80.6,9.791,0.068,-0.008,-0.689,3.211,1565.612,390.652,0.168,0.002,1028.082,834.698,2.763,1.064,2.9e7,89.638,203.732,0.692,0.692,0.245,0.212,0.235,0.019,0.051,3.719e-4,0,0,0,0,-8.6e-7,0.046,70,38.485,88.129,0.212,2.282,12.346,965.367,338.781,0.037,0.006
1.908,426.161,355.435,-96.048,355.56,96.053,9.846,-9.801e-4,9.846,-0.006,9.413,0.922,28.61,-80.6,9.791,0.065,-0.012,2.216,6.135,1563.889,388.929,0.168,0.002,1027.56,834.391,2.76,1.05,2.857e7,62.168,196.976,0.688,0.688,0.247,0.203,0.238,0.018,0.049,4.766e-4,0,0,0,0,9.134e-6,0.046,70,38.485,88.111,0.916,2.361,12.23,963.268,338.71,0.05,0.006
1.932,434.689,352.833,-106.927,352.956,106.986,10.072,-7.451e-4,10.072,-0.004,9.307,3.569,28.61,-80.6,9.791,0.01,-0.006,-0.164,1.189,1563.548,388.588,0.168,0.002,1027.755,834.33,2.763,1.042,2.834e7,41.334,193.307,0.686,0.686,0.248,0.198,0.24,0.003,0.008,4.414e-4,0,0,0,0,-5.088e-8,0.045,70,38.485,88.134,0.231,2.342,12.175,962.268,338.677,0.024,0.006
1.963,445.734,349.266,-111.728,349.387,111.748,10.363,-5.357e-4,10.363,-0.003,9.201,2.114,28.61,-80.6,9.791,0.034,-0.007,0.763,3.058,1563.102,388.142,0.168,0.002,1027.013,834.25,2.754,1.032,2.803e7,28.189,187.538,0.68,0.68,0.249,0.188,0.242,0.009,0.025,2.575e-5,0,0,0,0,1.122e-6,0.045,70,38.485,88.101,-0.311,2.268,12.103,960.973,338.633,0.031,0.006
